Date,Close,High,Low,Open,Volume
11/6/2015,248.489654541015,250.351769528228,247.190762337215,248.443659416849,5881004
11/9/2015,244.788467407226,245.903435510346,241.615953650771,243.225194065191,11429432
11/10/2015,242.443527221679,244.834404009568,241.949254971892,243.696452511876,4402580
11/13/2015,241.857299804687,242.535468325073,239.316988176683,241.248081878301,3940028
11/16/2015,243.9033203125,244.834391901236,240.294035807293,241.098655874574,4734732
11/17/2015,243.868835449218,244.55850972587,241.661855313598,244.443564013095,2567404
11/18/2015,241.064193725585,245.029821647179,240.535460173794,244.075766418675,2446720
11/19/2015,245.730987548828,246.202248204731,241.294071139479,242.535490637793,3277680
11/20/2015,246.179229736328,248.340214769259,243.684913358403,244.8113869667,4648160
11/23/2015,245.075805664062,247.248268766971,243.466565421041,246.903431572038,3408280
11/24/2015,244.684936523437,246.788448708619,244.167680808864,244.89184442185,4002252
11/26/2015,244.592971801757,245.294151877183,241.638872586204,243.45502046667,8791484
11/27/2015,248.144836425781,248.788515647206,243.903322340943,244.799904607383,6925072
11/30/2015,247.765518188476,248.512665424953,245.914880731419,248.098849576504,5247776
12/1/2015,248.972457885742,249.409257284091,246.788488956919,247.60461488707,1895332
12/2/2015,247.777053833007,251.202414510202,246.409182659089,250.581718725684,2562284
12/3/2015,247.535598754882,248.512637338312,245.363135953364,246.558560171452,3807712
12/4/2015,243.432067871093,246.811461042185,242.765377037478,246.811461042185,5859828
12/7/2015,244.133239746093,246.236752347131,243.937837605652,245.570061459517,5814808
12/8/2015,241.213607788085,244.121740289895,240.696352017275,243.914832368986,4902660
12/9/2015,240.79978942871,242.9952640137,240.20207726794,240.719333033343,3890616
12/10/2015,243.82290649414,244.420618750193,239.615909102636,240.236604894897,6514340
12/11/2015,240.546905517578,243.822858576884,239.546883354163,243.684929323813,3033920
12/14/2015,242.546981811523,243.650443916773,239.110087849211,239.316995763609,5878016
12/15/2015,243.558502197265,244.24817659461,240.305560406792,242.075713468142,4557416
12/16/2015,245.363174438476,246.754000978817,243.535520434465,244.374629903256,6842768
12/17/2015,248.340225219726,249.202318109866,244.834380799822,246.880420205006,4878012
12/18/2015,246.673568725585,249.432266605089,245.639057020772,249.432266605089,3172128
12/21/2015,247.22525024414,248.259761682528,245.765445271444,246.386140909309,3097500
12/22/2015,245.167724609375,247.47814489745,244.604501784382,247.018361999359,2429536
