Price,Close,High,Low,Open,Volume
Date,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
1/1/2015,301.772857666015,304.558755484425,298.656454021549,301.253466665215,1456204
1/2/2015,301.584014892578,307.675172984675,300.356318841113,301.584014892578,2894058
1/5/2015,305.786468505859,309.280643023679,301.584046526141,302.622857503317,2099786
1/6/2015,303.944946289062,313.010887827585,298.042644352502,303.756061099159,3672197
1/7/2015,303.236663818359,310.41386858953,299.742489615866,304.039382629184,2981544
1/8/2015,315.938385009765,318.535397684937,305.550334309079,307.864048038528,2932673
1/9/2015,312.727569580078,324.012782754883,309.13898142114,320.990792543268,3543488
1/12/2015,310.177825927734,317.071704018062,307.439134393376,313.671971867006,2990475
1/13/2015,305.030944824218,312.869189773193,302.906116261201,311.830407753805,2688701
1/14/2015,312.821990966796,315.324561130564,304.700418041126,305.975320975825,2272652
1/15/2015,312.208190917968,318.535441746248,308.100182717764,315.419037632899,2140699
1/16/2015,312.444274902343,315.985656220974,307.864082632947,311.452670841226,1970666
1/19/2015,310.083343505859,316.174501875403,308.430698946552,313.577488996492,1362398
1/20/2015,312.113739013671,314.144125197902,308.666800307442,310.697186491673,1091657
1/21/2015,311.027709960937,314.946832699832,308.052955535985,311.97207827488,1514648
1/22/2015,311.07485961914,313.199687934599,308.808381846617,310.744325006103,1376133
1/23/2015,327.601348876953,333.125909050401,311.735973382783,313.530267341554,7519790
1/27/2015,325.94873046875,330.009531668519,321.935164978415,328.640186032118,2928237
1/28/2015,320.376983642578,330.528944067508,315.324606876436,324.296106786839,3391819
1/29/2015,325.004333496093,329.017898632967,318.865939757345,321.699044559844,4034959
1/30/2015,322.076782226562,332.417626159162,305.503130859343,327.129158160845,4373172
2/2/2015,317.213287353515,324.768233304512,314.474625210245,320.61301879543,1735161
2/3/2015,309.563873291015,318.204865065894,307.911229000493,317.591002702123,1537152
2/4/2015,303.378356933593,314.474685942059,301.489620081088,311.122189556798,2792395
2/5/2015,294.831817626953,304.747685545081,291.290436227621,304.086616155938,2167857
2/6/2015,283.499389648437,296.484454435769,281.988394527399,293.792998879518,3265593
2/9/2015,283.452117919921,290.770971688204,276.227706738421,280.194064824649,3103409
2/10/2015,300.16748046875,301.91456764912,281.516205888226,281.516205888226,3921257
2/11/2015,307.958557128906,310.602777259425,301.253535373859,302.103461214394,2148555
2/12/2015,317.874359130859,319.196468918627,308.619532976822,309.469487458802,3539194
2/13/2015,316.693878173828,325.193191880966,313.105261761138,318.913149183546,2180303
2/16/2015,312.821990966796,322.690650964474,311.310995963443,316.457814588037,2205960
2/18/2015,315.230102539062,317.118838992429,311.641514805597,313.813550199037,1227170
2/19/2015,315.277313232421,322.029539753612,305.69198225592,316.504980301791,2643121
2/20/2015,310.697174072265,319.243695752095,308.241810701648,316.410590821344,1302901
2/23/2015,305.40869140625,313.908005798742,303.331098513318,312.585895990543,1737238
2/24/2015,315.466217041015,318.157672442526,301.489577819598,305.739235142036,2330482
